epoch;f1;loss;val_f1;val_loss
0;0.4432780146598816;0.5634600520133972;0.5293982028961182;0.4707755446434021
1;0.5455466508865356;0.45623084902763367;0.5750659704208374;0.42368972301483154
2;0.578391969203949;0.42246192693710327;0.5927655696868896;0.4042157530784607
3;0.6004467010498047;0.4002096652984619;0.6104009747505188;0.3878941237926483
4;0.6107947826385498;0.38909223675727844;0.6216782927513123;0.37671783566474915
5;0.6219014525413513;0.3780779540538788;0.6279043555259705;0.3705346882343292
6;0.6331885457038879;0.3665876090526581;0.6313223838806152;0.36650195717811584
7;0.6331993341445923;0.36651408672332764;0.6401292681694031;0.358445405960083
8;0.6448743939399719;0.3551059663295746;0.6404794454574585;0.3575669527053833
9;0.6512635946273804;0.3485940992832184;0.6444799304008484;0.3538813591003418
10;0.6554421782493591;0.3441459536552429;0.6464475393295288;0.3514314293861389
11;0.6604680418968201;0.33940136432647705;0.6538395285606384;0.34454673528671265
12;0.660193145275116;0.3398447036743164;0.6548569798469543;0.34335145354270935
13;0.6621261835098267;0.3377203345298767;0.651801586151123;0.3464471697807312
14;0.6717786192893982;0.3279713988304138;0.6583778858184814;0.339729368686676
15;0.6802225708961487;0.3195784389972687;0.6600642204284668;0.3382623791694641
16;0.6762882471084595;0.32383108139038086;0.6585533022880554;0.3397367596626282
17;0.6732224822044373;0.32655927538871765;0.6606255769729614;0.33735111355781555
18;0.6779967546463013;0.3218837380409241;0.6653041243553162;0.3328819274902344
19;0.6774272918701172;0.3225570321083069;0.6641740798950195;0.3340834677219391
20;0.679252564907074;0.32053500413894653;0.6633056402206421;0.3349834382534027
21;0.6813750267028809;0.3184809684753418;0.6674854159355164;0.3307594060897827
22;0.6899204254150391;0.3098601698875427;0.6651778817176819;0.3329163193702698
23;0.6886067986488342;0.3111768066883087;0.6679582595825195;0.330368310213089
24;0.6895982027053833;0.310322105884552;0.6716553568840027;0.3266175389289856
25;0.6921597123146057;0.30764240026474;0.6684632897377014;0.32946303486824036
26;0.6913432478904724;0.30859845876693726;0.6688750982284546;0.3293808102607727
27;0.6948336362838745;0.30515816807746887;0.6721570491790771;0.32617315649986267
28;0.6910632848739624;0.30876845121383667;0.6742395162582397;0.32426026463508606
29;0.6958612203598022;0.30407798290252686;0.6736230850219727;0.32472044229507446
30;0.6936830878257751;0.3061330318450928;0.6699450016021729;0.32830899953842163
31;0.6968144774436951;0.3029435873031616;0.6713120937347412;0.32684099674224854
32;0.6964043378829956;0.3032098412513733;0.6716601848602295;0.32663774490356445
33;0.6942309141159058;0.305519163608551;0.6720322370529175;0.3260152339935303
34;0.6990290880203247;0.3007376194000244;0.6726611256599426;0.3253013789653778
35;0.699122428894043;0.3008357882499695;0.6726987957954407;0.3254390060901642
36;0.7028985023498535;0.2970415949821472;0.6765353083610535;0.3219810724258423
37;0.6986350417137146;0.3012492060661316;0.6778326630592346;0.3204384446144104
38;0.699314296245575;0.30052050948143005;0.6756831407546997;0.32258424162864685
39;0.6985772252082825;0.30126237869262695;0.6744496822357178;0.3237658739089966
40;0.7052825689315796;0.2946404218673706;0.6736129522323608;0.32460761070251465
41;0.6982210278511047;0.3015877604484558;0.6766695976257324;0.3216903507709503
42;0.7030946612358093;0.296718567609787;0.6744505763053894;0.3238469064235687
43;0.7062926888465881;0.2934277355670929;0.6745383143424988;0.32367146015167236
44;0.7010833024978638;0.2988493740558624;0.6778978705406189;0.32039737701416016
45;0.7118887305259705;0.2878108620643616;0.6757537722587585;0.32269006967544556
46;0.7082176804542542;0.2918996810913086;0.6782617568969727;0.3198513090610504
47;0.7103167176246643;0.28958967328071594;0.6739057898521423;0.32441774010658264
48;0.7102826237678528;0.2895388901233673;0.677942156791687;0.32048189640045166
49;0.7112725377082825;0.2885262668132782;0.6742949485778809;0.32385244965553284
